time_casa;time_visitante;total_gols_casa;total_gols_visitante;total_gols_jogo;total_escanteios_casa;total_escanteios_visitante;total_cartoes_amarelos_casa;total_cartoes_vermelhos_casa;total_cartoes_amarelos_visitante;total_cartoes_vermelhos_visitante;chutes_casa;chutes_visitanes;chutes_no_gol_casa;chutes_no_gol_visitante;chutes_fora_do_gol_casa;chutes_fora_do_gol_visitante;faltas_time_casa;faltas_time_visitante;posse_de_bola_casa;posse_de_bola_visitante;liga;qtd_torcedores;mes;dia;ano;key_home;key_away
joinville;icasa;0;0;0;7;5;3;0;3;0;12;14;5;9;7;5;23;21;52;48;brazilserie;6522;10;11;2013;joinville_bra;icasa_bra
palmeiras;guaratingueta;1;0;1;11;3;2;0;4;0;22;10;11;4;11;6;9;18;50;50;southamerica;16349;10;12;2013;palmeiras_bra;guaratingueta_bra
oeste;sportrecife;0;3;3;20;5;1;0;0;0;13;6;8;4;5;2;22;16;51;49;brazilserie;2117;10;12;2013;oeste_bra;sportrecife_bra
avai;chapecoense;1;2;3;11;3;2;0;5;0;13;5;6;3;7;2;8;23;48;52;brazilcopa;16077;10;12;2013;avai_bra;chapecoense_bra
ceara;parana;1;1;2;13;3;4;0;3;0;15;7;8;5;7;2;16;15;48;52;southamerica;31792;10;12;2013;ceara_bra;parana_bra
americarn;atleticogo;2;1;3;3;3;5;0;3;0;13;10;7;4;6;6;25;19;49;51;brazilcopa;3948;10;12;2013;americarn_bra;atleticogo_bra
saocaetano;figueirense;0;2;2;5;5;3;0;4;0;11;3;5;0;6;3;18;22;52;48;brazilserie;444;10;13;2013;saocaetano_bra;figueirense_bra
bragantino;asa;2;0;2;5;10;4;0;3;0;11;13;4;4;7;9;28;15;53;47;brazilpaulista;829;10;13;2013;bragantino_bra;asa_bra
asa;americarn;1;2;3;9;3;3;0;3;0;22;10;8;3;14;7;23;28;52;48;brazilserie;2963;10;15;2013;asa_bra;americarn_bra
boa;joinville;1;0;1;10;5;2;0;3;0;17;6;7;0;10;6;18;19;48;52;brazilserie;3343;10;15;2013;boa_bra;joinville_bra
chapecoense;ceara;1;1;2;8;2;1;0;3;0;21;9;12;4;9;5;14;22;52;48;brazilserie;7086;10;15;2013;chapecoense_bra;ceara_bra
guaratingueta;oeste;0;0;0;9;5;1;0;1;1;13;13;6;6;7;7;16;18;48;52;brazilserie;815;10;15;2013;guaratingueta_bra;oeste_bra
sportrecife;americamineiro;1;3;4;5;7;1;0;4;0;14;12;5;6;9;6;14;10;47;53;brazilcopa;16694;10;15;2013;sportrecife_bra;americamineiro_bra
figueirense;paysandu;3;2;5;5;7;3;0;2;0;12;5;6;2;6;3;17;20;51;49;southamerica;3806;10;16;2013;figueirense_bra;paysandu_bra
icasa;palmeiras;1;0;1;6;13;6;0;1;1;9;14;3;6;6;8;32;16;48;52;brazilserie;10490;10;16;2013;icasa_bra;palmeiras_bra
abc;saocaetano;2;0;2;14;2;3;0;6;0;17;8;9;2;8;6;24;24;48;52;brazilcopa;6175;10;16;2013;abc_bra;saocaetano_bra
parana;bragantino;1;0;1;9;2;5;0;5;0;12;11;7;6;5;5;22;20;53;47;brazilcopa;8973;10;16;2013;parana_bra;bragantino_bra
asa;oeste;3;0;3;5;4;3;0;2;1;10;9;5;5;5;4;26;21;47;53;brazilserie;2176;10;18;2013;asa_bra;oeste_bra
boa;americarn;3;2;5;7;8;5;0;3;0;14;11;6;5;8;6;17;17;50;50;brazilserie;3436;10;18;2013;boa_bra;americarn_bra
paysandu;avai;0;2;2;11;0;1;0;2;0;13;2;6;0;7;2;8;16;47;53;brazilcopa;5166;10;18;2013;paysandu_bra;avai_bra
ceara;americamineiro;1;1;2;9;2;1;1;3;0;16;9;5;2;11;7;21;17;47;53;southamerica;11403;10;19;2013;ceara_bra;americamineiro_bra
figueirense;joinville;0;1;1;13;2;2;0;4;0;12;10;4;5;8;5;10;19;49;51;southamerica;9567;10;19;2013;figueirense_bra;joinville_bra
chapecoense;sportrecife;0;0;0;6;5;4;0;2;0;21;13;8;10;13;3;9;15;51;49;brazilserie;9170;10;19;2013;chapecoense_bra;sportrecife_bra
abc;guaratingueta;2;4;6;4;5;4;1;4;0;11;15;4;7;7;8;14;18;51;49;brazilcopa;6102;10;19;2013;abc_bra;guaratingueta_bra
bragantino;palmeiras;0;2;2;3;7;5;0;1;1;12;10;2;6;10;4;13;13;52;48;brazilpaulista;6205;10;19;2013;bragantino_bra;palmeiras_bra
saocaetano;icasa;2;1;3;3;6;4;0;2;1;10;13;5;5;5;8;36;25;50;50;brazilserie;439;10;20;2013;saocaetano_bra;icasa_bra
chapecoense;figueirense;1;1;2;12;6;1;0;3;0;13;7;5;5;8;2;17;13;50;50;brazilserie;7944;10;22;2013;chapecoense_bra;figueirense_bra
paysandu;abc;1;0;1;4;8;5;0;6;1;15;6;7;2;8;4;18;17;49;51;brazilcopa;7365;10;22;2013;paysandu_bra;abc_bra
parana;atleticogo;1;1;2;12;2;2;0;4;0;21;8;8;4;13;4;18;15;52;48;brazilcopa;11072;10;22;2013;parana_bra;atleticogo_bra
icasa;figueirense;1;0;1;6;7;2;0;3;0;12;7;4;3;8;4;25;20;50;50;brazilserie;1930;10;25;2013;icasa_bra;figueirense_bra
atleticogo;chapecoense;0;0;0;5;3;0;0;0;0;9;8;3;2;6;6;5;12;52;48;southamerica;2982;10;25;2013;atleticogo_bra;chapecoense_bra
avai;bragantino;3;0;3;6;7;1;0;2;1;8;8;6;3;2;5;15;34;51;49;brazilcopa;7089;10;25;2013;avai_bra;bragantino_bra
oeste;abc;2;1;3;8;7;1;0;3;0;9;6;6;4;3;2;16;15;49;51;brazilserie;1051;10;26;2013;oeste_bra;abc_bra
joinville;parana;1;0;1;7;5;2;0;1;0;6;12;2;7;4;5;28;16;47;53;brazilserie;11898;10;26;2013;joinville_bra;parana_bra
americarn;ceara;1;0;1;11;5;1;1;1;1;13;8;6;5;7;3;13;13;49;51;brazilcopa;4028;10;26;2013;americarn_bra;ceara_bra
